timestamp,TP9,AF7,AF8,TP10
2024-06-05T16:29:45.034365,641.6015625,957.51953125,-1000.0,-1000.0,0.0
2024-06-05T16:29:45.035284,-863.76953125,-565.4296875,-230.95703125,185.546875,0.0
2024-06-05T16:29:45.038988,-1000.0,-1000.0,-797.36328125,-760.7421875,0.0
2024-06-05T16:29:45.042691,8.30078125,-104.4921875,222.65625,185.546875,0.0
2024-06-05T16:29:45.046396,-837.40234375,-822.75390625,-1000.0,-1000.0,0.0
2024-06-05T16:29:45.050100,-101.07421875,84.9609375,-273.92578125,-272.4609375,0.0
2024-06-05T16:29:45.053804,-1000.0,-1000.0,-834.47265625,-803.22265625,0.0
2024-06-05T16:29:45.057508,-228.02734375,-245.60546875,613.76953125,305.6640625,0.0
2024-06-05T16:29:45.061212,-832.51953125,-824.21875,-1000.0,-1000.0,0.0
2024-06-05T16:29:45.064916,241.69921875,240.234375,-671.38671875,-364.2578125,0.0
2024-06-05T16:29:45.068620,-1000.0,-1000.0,889.16015625,-890.13671875,0.0
2024-06-05T16:29:45.072324,-499.0234375,-622.55859375,-899.90234375,755.859375,0.0
2024-06-05T16:29:45.076028,-902.34375,-976.5625,-236.81640625,-856.93359375,0.0
2024-06-05T16:29:45.077440,343.26171875,542.96875,-1000.0,-830.56640625,0.0
2024-06-05T16:29:45.081128,-1000.0,-978.02734375,123.53515625,732.91015625,0.0
2024-06-05T16:29:45.084816,-1000.0,-1000.0,-763.671875,-850.5859375,0.0
2024-06-05T16:29:45.088504,454.1015625,235.83984375,190.4296875,-153.3203125,0.0
2024-06-05T16:29:45.092192,947.75390625,-887.20703125,-1000.0,-1000.0,0.0
2024-06-05T16:29:45.095881,-587.40234375,-307.12890625,-273.92578125,75.68359375,0.0
2024-06-05T16:29:45.099569,-1000.0,-1000.0,-803.22265625,-761.71875,0.0
2024-06-05T16:29:45.103257,-97.16796875,-219.23828125,330.56640625,193.359375,0.0
2024-06-05T16:29:45.106945,-833.49609375,-833.49609375,-1000.0,-1000.0,0.0
2024-06-05T16:29:45.110633,13.671875,232.421875,-379.8828125,-277.34375,0.0
2024-06-05T16:29:45.114321,-1000.0,-1000.0,-891.11328125,-811.03515625,0.0
2024-06-05T16:29:45.118009,-236.81640625,-312.5,751.953125,431.15234375,0.0
2024-06-05T16:29:45.119847,-830.56640625,-832.03125,-843.75,-1000.0,0.0
2024-06-05T16:29:45.123523,241.69921875,236.81640625,-881.34765625,-481.93359375,0.0
2024-06-05T16:29:45.127199,-1000.0,-1000.0,653.3203125,-958.0078125,0.0
2024-06-05T16:29:45.130875,-650.390625,-782.71484375,-833.984375,885.25390625,0.0
2024-06-05T16:29:45.134552,-995.1171875,829.1015625,-73.2421875,-670.41015625,0.0
2024-06-05T16:29:45.138228,547.8515625,730.46875,-1000.0,-968.75,0.0
2024-06-05T16:29:45.141904,-978.515625,-840.8203125,-34.1796875,561.03515625,0.0
2024-06-05T16:29:45.145581,-1000.0,-1000.0,-770.5078125,-812.01171875,0.0
2024-06-05T16:29:45.149257,253.90625,116.2109375,203.125,-21.97265625,0.0
2024-06-05T16:29:45.152933,-938.96484375,-826.66015625,-1000.0,-1000.0,0.0
2024-06-05T16:29:45.156609,-403.3203125,-125.0,-276.3671875,-84.9609375,0.0
2024-06-05T16:29:45.160285,-1000.0,-1000.0,-812.01171875,-775.87890625,0.0
2024-06-05T16:29:45.164131,-208.984375,-228.02734375,431.640625,208.0078125,0.0
2024-06-05T16:29:45.167809,-847.16796875,-831.54296875,-1000.0,-1000.0,0.0
2024-06-05T16:29:45.171486,136.71875,241.2109375,-503.90625,-277.34375,0.0
2024-06-05T16:29:45.175163,-1000.0,-1000.0,-989.2578125,-821.2890625,0.0
2024-06-05T16:29:45.178840,-346.19140625,-455.56640625,939.94140625,525.87890625,0.0
2024-06-05T16:29:45.182518,-856.93359375,-882.8125,-550.78125,-1000.0,0.0
2024-06-05T16:29:45.186195,246.58203125,379.39453125,-1000.0,-580.078125,0.0
2024-06-05T16:29:45.189872,-1000.0,-1000.0,402.34375,969.7265625,0.0
2024-06-05T16:29:45.193549,-786.1328125,-912.59765625,-784.66796875,999.0234375,0.0
2024-06-05T16:29:45.197227,845.703125,636.71875,71.77734375,-469.23828125,0.0
2024-06-05T16:29:45.200904,657.2265625,906.73828125,-1000.0,-1000.0,0.0
2024-06-05T16:29:45.204581,-917.96875,-633.30078125,-152.34375,354.4921875,0.0
2024-06-05T16:29:45.208500,-1000.0,-1000.0,-780.76171875,-777.83203125,0.0
2024-06-05T16:29:45.212179,125.0,-9.27734375,213.37890625,181.640625,0.0
2024-06-05T16:29:45.215858,-851.07421875,-816.89453125,-1000.0,-1000.0,0.0
2024-06-05T16:29:45.219536,-213.37890625,3.41796875,-275.87890625,-268.5546875,0.0
2024-06-05T16:29:45.223215,-1000.0,-1000.0,-827.1484375,-799.8046875,0.0
2024-06-05T16:29:45.226893,-221.19140625,-238.28125,560.546875,225.09765625,0.0
2024-06-05T16:29:45.230572,-837.890625,-827.63671875,-1000.0,-1000.0,0.0
2024-06-05T16:29:45.234251,241.69921875,241.69921875,-638.671875,-273.4375,0.0
2024-06-05T16:29:45.237929,-1000.0,-1000.0,903.80859375,-834.47265625,0.0
2024-06-05T16:29:45.241608,-463.37890625,-561.5234375,-911.1328125,613.76953125,0.0
2024-06-05T16:29:45.245286,-887.20703125,-939.94140625,-274.90234375,-1000.0,0.0
2024-06-05T16:29:45.248965,349.12109375,516.11328125,-1000.0,-666.50390625,0.0
2024-06-05T16:29:45.252944,-1000.0,-1000.0,185.546875,880.859375,0.0
2024-06-05T16:29:45.256624,-915.52734375,-1000.0,-760.7421875,-886.23046875,0.0
2024-06-05T16:29:45.260304,660.64453125,433.59375,185.546875,-172.36328125,0.0
2024-06-05T16:29:45.263984,807.6171875,-947.75390625,-1000.0,-1000.0,0.0
2024-06-05T16:29:45.267665,-755.37109375,-409.66796875,-269.04296875,90.8203125,0.0
2024-06-05T16:29:45.271345,-1000.0,-1000.0,-802.24609375,-762.20703125,0.0
